id,round_id,home_team_id,away_team_id,kickoff,home_score,away_score,status,odds_home,odds_draw,odds_away,odds_updated_at,created_at,is_third_place,pens_winner_id,match_number,venue,confirmed,elapsed_minutes,api_status,odds_home_prev,odds_draw_prev,odds_away_prev,expected_home_score,expected_away_score
25314813-cb44-4dc2-a23b-09ddf7c0e193,c22e6746-73c1-4060-9194-eb35359c955e,1b2fe4cc-3105-4e0b-b1ff-06f91c466ef7,61d8b501-96d1-4043-a2b7-de27e9b137d7,2026-06-23 20:00:00+00,0,0,complete,1.20,7.00,19.00,,2026-04-14 18:08:42.801797+00,false,,45,Boston,true,,FINISHED,1.22,6.5,13,3,1
25cced55-f450-45fb-b776-c81cf7419b07,27ce4fc5-3de9-4cf0-bfc5-5fa0addb7081,eaca3063-d90c-4007-b3d8-ba829b3ee14e,6ea9375b-d599-463f-96e6-c87d9209e9b2,2026-07-06 19:00:00+00,0,1,complete,3.90,3.40,1.91,,2026-04-19 19:45:22.650156+00,false,,93,Dallas,true,,FINISHED,3.75,3.5,1.91,,
2737b00b-6825-43fa-900a-0a522772306f,32854b42-0d3a-4e2e-9555-00cd1e6c83c6,7f560d60-00fc-46e1-b81b-4e7234b7cb04,52f066d8-0a7a-42c5-8a6b-103ec4ba2c91,2026-06-14 01:00:00+00,0,1,complete,6.00,4.20,1.50,,2026-04-14 18:08:42.801797+00,false,,5,Boston,true,,FINISHED,,,,,
2b5bb71c-92cc-4afa-b379-e31f3af967eb,c22e6746-73c1-4060-9194-eb35359c955e,2044181c-c7e7-4759-8101-4779166812e3,910a4a31-591d-4c32-8b57-b0d0bbde5a26,2026-06-20 17:00:00+00,5,1,complete,1.73,3.60,4.50,,2026-04-14 18:08:42.801797+00,false,,35,Houston,true,,FINISHED,1.73,3.6,4.6,2,0
2b8d5341-a73c-40fb-a9e4-975e879b65d3,32854b42-0d3a-4e2e-9555-00cd1e6c83c6,4f0f3776-f99f-4c06-9eb4-0acd2825d8c2,4976e7fd-9b45-4cc7-b741-fe801fcee2d0,2026-06-12 19:00:00+00,1,1,complete,1.80,3.30,4.50,,2026-04-14 18:08:42.801797+00,false,,3,Toronto,true,,FINISHED,,,,,
2cc09d93-3fa3-44d0-9049-5b90ac167097,32854b42-0d3a-4e2e-9555-00cd1e6c83c6,f99d6725-238c-4d95-8502-9d25b4a6e89e,87881cf2-7a14-4afa-9912-0ef5b2672387,2026-06-14 04:00:00+00,2,0,complete,4.80,3.60,1.67,,2026-04-14 18:08:42.801797+00,false,,6,Vancouver,true,,FINISHED,,,,,
2e98ff8b-14f8-427d-bf77-320b06b02c7c,5f39c536-340b-4981-b59a-4a9d7aff9e1e,acfbd82a-7005-41b9-9613-606ceefc857e,b6afbe52-5067-4263-a750-6101f6efedc0,2026-07-03 03:00:00+00,2,0,complete,2.00,3.20,3.80,,2026-04-19 19:45:22.650156+00,false,,85,Vancouver,true,,FINISHED,2,3.2,3.8,,
34faf1f8-d253-4f37-a9d3-6f7806842d1b,c22e6746-73c1-4060-9194-eb35359c955e,6ea9375b-d599-463f-96e6-c87d9209e9b2,622bb3ef-bc6e-4c9a-9efe-aae4d0f95822,2026-06-21 16:00:00+00,4,0,complete,1.10,9.50,29.00,,2026-04-14 18:08:42.801797+00,false,,38,Atlanta,true,,FINISHED,1.1,9.5,29,2,1
356341b8-bf0c-49e3-9811-85ca67b9eea8,5f39c536-340b-4981-b59a-4a9d7aff9e1e,95b1e39e-97c3-4d45-9714-3f507d7c52f1,1270b02b-ff92-4068-a52e-ae90bcae805b,2026-07-03 22:00:00+00,3,2,complete,1.12,8.00,19.00,,2026-04-19 19:45:22.650156+00,false,,86,Miami,true,,FINISHED,1.14,7.5,21,,
371dfc3a-483b-4b55-9462-6a8b23f9cb6e,c22e6746-73c1-4060-9194-eb35359c955e,a760ffb3-5775-4d7d-b803-cf0087525d91,ddd77a2f-eb9f-4a20-8ae4-e1ca55c21893,2026-06-22 01:00:00+00,1,3,complete,5.00,3.90,1.60,,2026-04-14 18:08:42.801797+00,false,,40,Vancouver,true,,FINISHED,5,3.9,1.6,0,1
3ca50009-6690-4197-8fbb-29612575864d,27ce4fc5-3de9-4cf0-bfc5-5fa0addb7081,c8e5c035-af92-4497-b96c-82f2c0a15214,f2c7a0c3-9a4c-4e3f-92a3-39abff0ce8e2,2026-07-04 21:00:00+00,0,1,complete,15.00,6.50,1.18,,2026-04-19 19:45:22.650156+00,false,,89,Philadelphia,true,,FINISHED,15,7,1.18,,
3fade0b4-4567-4b5f-b099-f865cca5e2ed,5b9456a0-db45-445f-87a0-58737bb89313,8cccecd8-b1ab-4159-bf35-29ef0db369c4,61d8b501-96d1-4043-a2b7-de27e9b137d7,2026-06-27 21:00:00+00,2,1,complete,1.85,3.10,4.40,,2026-04-14 18:08:42.801797+00,false,,68,Philadelphia,true,,FINISHED,1.73,3.3,5,2,1
447d4217-d302-49c0-980c-cd1359ccb3c5,c22e6746-73c1-4060-9194-eb35359c955e,cd984ce3-2f2c-41d5-a7ba-137060caf8ae,666ba168-4d8b-4060-8e4b-e1dd7b2a7503,2026-06-21 00:00:00+00,0,0,complete,1.10,9.50,29.00,,2026-04-14 18:08:42.801797+00,false,,34,Kansas City,true,,FINISHED,1.1,9.5,29,3,1
4645c3d2-2710-4c1f-a94b-f1a4b24de902,c22e6746-73c1-4060-9194-eb35359c955e,52f066d8-0a7a-42c5-8a6b-103ec4ba2c91,fcc03c57-8857-4986-98b0-0e30fb42ab2a,2026-06-19 22:00:00+00,0,1,complete,5.00,3.40,1.67,,2026-04-14 18:08:42.801797+00,false,,30,Boston,true,,FINISHED,4.8,3.4,1.73,1,2
472a5e3d-5ce9-46a8-9abf-fa5593699943,32854b42-0d3a-4e2e-9555-00cd1e6c83c6,f27875c8-4818-4323-8d45-333b7f82cf57,20e98c7a-4548-44f8-964d-7aba42ae7624,2026-06-16 22:00:00+00,1,4,complete,13.00,6.00,1.20,,2026-04-14 18:08:42.801797+00,false,,18,Boston,true,,FINISHED,13,6,1.25,,
4a1a38c4-fe97-4d42-a2ff-8a0caa18ff17,5b9456a0-db45-445f-87a0-58737bb89313,d6209663-7a5c-4736-b346-cde299b554b2,e176dd2c-4446-4811-b4cc-fc28e9c2ab25,2026-06-25 01:00:00+00,0,3,complete,3.60,3.60,1.91,,2026-04-14 18:08:42.801797+00,false,,53,Mexico City,true,,FINISHED,3.6,3.7,1.85,1,1
4e6332aa-4d1e-4c23-b657-4d3dd2747af3,c22e6746-73c1-4060-9194-eb35359c955e,f2c7a0c3-9a4c-4e3f-92a3-39abff0ce8e2,f27875c8-4818-4323-8d45-333b7f82cf57,2026-06-22 21:00:00+00,3,0,complete,1.10,10.00,23.00,,2026-04-14 18:08:42.801797+00,false,,42,Philadelphia,true,,FINISHED,1.08,10,29,3,0
4ec3afba-9a7c-4409-87d0-7d3f64316c22,6aa7c75c-0fc8-46f0-8219-84f969510a0e,f2c7a0c3-9a4c-4e3f-92a3-39abff0ce8e2,6ea9375b-d599-463f-96e6-c87d9209e9b2,2026-07-14 19:00:00+00,0,2,complete,2.38,3.10,3.20,,2026-04-19 19:45:29.973987+00,false,,101,Dallas,true,,FINISHED,2.3,3.1,3,,
53d7793c-7e1b-4a8a-bd9e-8044f4ffc71b,c22e6746-73c1-4060-9194-eb35359c955e,4f0f3776-f99f-4c06-9eb4-0acd2825d8c2,600575e1-d737-452a-abec-c6e22da92787,2026-06-18 22:00:00+00,6,0,complete,1.29,5.00,10.00,,2026-04-14 18:08:42.801797+00,false,,27,Vancouver,true,,FINISHED,1.25,5,10,3,0
558a4b5f-74e2-4687-95d5-2f6e52c5acc7,5b9456a0-db45-445f-87a0-58737bb89313,ee8ecff9-d0b1-4aa8-ab21-da08a6c9229a,6ea9375b-d599-463f-96e6-c87d9209e9b2,2026-06-27 00:00:00+00,0,1,complete,5.50,3.30,1.67,,2026-04-14 18:08:42.801797+00,false,,66,Guadalajara,true,,FINISHED,5.8,3.6,1.62,1,2
5688eceb-e867-4cbb-a673-0677aacc75f2,c22e6746-73c1-4060-9194-eb35359c955e,ee8ecff9-d0b1-4aa8-ab21-da08a6c9229a,1270b02b-ff92-4068-a52e-ae90bcae805b,2026-06-21 22:00:00+00,2,2,complete,1.44,3.90,7.00,,2026-04-14 18:08:42.801797+00,false,,37,Miami,true,,FINISHED,1.44,3.9,7,3,0
585588af-146a-483b-88c3-795bd93acb0a,5b9456a0-db45-445f-87a0-58737bb89313,66a8014f-0009-400e-928c-6b28cb8dab1f,910a4a31-591d-4c32-8b57-b0d0bbde5a26,2026-06-25 23:00:00+00,1,1,complete,1.85,3.60,3.80,,2026-04-14 18:08:42.801797+00,false,,57,Dallas,true,,FINISHED,1.85,3.6,3.8,2,2
5a849898-4855-4db0-926b-08d9605fd81a,6aa7c75c-0fc8-46f0-8219-84f969510a0e,1b2fe4cc-3105-4e0b-b1ff-06f91c466ef7,95b1e39e-97c3-4d45-9714-3f507d7c52f1,2026-07-15 19:00:00+00,1,2,complete,2.62,2.88,2.90,,2026-04-19 19:45:29.973987+00,false,,102,Atlanta,true,,FINISHED,2.62,2.88,2.9,,
5f2999a7-5535-4fe4-b0ba-a058b61fd138,5b9456a0-db45-445f-87a0-58737bb89313,666ba168-4d8b-4060-8e4b-e1dd7b2a7503,54ef8b7c-5afd-4a48-a3b9-d6701dd757f9,2026-06-25 20:00:00+00,0,2,complete,19.00,7.50,1.15,,2026-04-14 18:08:42.801797+00,false,,55,Philadelphia,true,,FINISHED,21,7.5,1.14,0,3
5ff3fb62-02c7-4666-80f9-540118fecb20,27ce4fc5-3de9-4cf0-bfc5-5fa0addb7081,acfbd82a-7005-41b9-9613-606ceefc857e,e171e736-56f2-44fa-92b5-b0653ea2ce2a,2026-07-07 20:00:00+00,0,0,complete,3.25,3.00,2.30,,2026-04-19 19:45:29.973987+00,false,acfbd82a-7005-41b9-9613-606ceefc857e,96,Vancouver,true,,FINISHED_PENS_HOME,3.3,2.9,2.3,,
6154fec4-83b3-4b8c-b92f-b8a31399f6c9,32854b42-0d3a-4e2e-9555-00cd1e6c83c6,61d8b501-96d1-4043-a2b7-de27e9b137d7,8d109cbf-133f-496a-b5b7-3f75a0ec1dcd,2026-06-17 23:00:00+00,1,0,complete,2.30,3.10,3.00,,2026-04-14 18:08:42.801797+00,false,,21,Toronto,true,,FINISHED,2.25,3.2,3.1,0,0
